date,open,high,low,close,volume,marketCap
2017-04-12,8.39,10.57,8.37,10.55,902695,50133900
2017-04-11,6.13,8.5,6.13,8.41,771597,36618600
2017-04-10,5.91,6.16,5.48,6.12,595244,35273600
2017-04-09,5.73,6.2,5.73,5.92,470292,34156000
2017-04-08,5.43,5.8,5.36,5.73,458324,32329000
2017-04-07,5.17,5.51,5.02,5.45,614199,30770800
2017-04-06,4.8,5.22,4.8,5.2,499333,28510400
2017-04-05,4.77,4.81,4.66,4.79,355818,28317800
2017-04-04,4.49,4.85,4.43,4.76,398884,26668800
2017-04-03,3.91,4.66,3.91,4.42,414450,23190700
2017-04-02,4.02,4.23,3.88,3.91,149998,23780900
2017-04-01,3.53,4.04,3.49,4.01,432916,20858600
2017-03-31,3.35,3.59,3.34,3.49,277557,19395400
2017-03-30,3.41,3.43,3.3,3.35,313656,19700100
2017-03-29,3.34,3.44,3.25,3.4,250322,19176200
2017-03-28,3.25,3.4,3.23,3.34,340582,18635300
2017-03-27,2.99,3.29,2.93,3.25,303282,17109800
2017-03-26,3.05,3.15,2.9,2.97,165270,17464100
2017-03-25,2.7,4.42,2.34,3.04,377669,15418900
2017-03-24,2.02,3.91,2.01,3.32,347994,11530000
2017-03-23,1.83,2.08,1.78,2.02,244700,10431300
2017-03-22,1.89,1.94,1.77,1.83,162423,10741700
2017-03-21,1.79,1.95,1.77,1.89,248776,10195800
2017-03-20,1.74,1.8,1.7,1.79,261732,9891750
2017-03-19,1.61,1.79,1.59,1.74,200786,9129360
2017-03-18,1.73,1.77,1.54,1.6,233726,9815210
2017-03-17,1.83,1.9,1.73,1.73,239185,10355500
2017-03-16,1.89,1.94,1.76,1.84,231056,10683100
2017-03-15,1.89,1.98,1.86,1.89,296537,10676500
2017-03-14,1.86,1.97,1.86,1.89,197787,10499500
2017-03-13,1.74,1.99,1.72,1.86,207174,9805420
2017-03-12,1.88,2,1.66,1.73,209145,10574100
2017-03-11,1.65,2.04,1.65,1.88,329288,8976540
2017-03-10,1.57,1.96,1.57,1.65,231193,8538000
2017-03-09,0.910759,6.9,0.904785,1.57,391543,4953980
2017-03-08,0.928324,2.29,0.892919,0.910482,80489,5043800
2017-03-07,0.929928,0.965031,0.902599,0.928556,112631,5046350
2017-03-06,0.877932,0.948389,0.877303,0.929657,144511,4758800
2017-03-05,0.860446,0.890336,0.854322,0.87769,99353,4658870
2017-03-04,0.87656,0.901431,0.848197,0.861036,118768,4741050
2017-03-03,0.849622,0.897957,0.849622,0.874886,133898,4588430
2017-03-02,0.843463,0.86753,0.833101,0.84983,112199,4549750
2017-03-01,0.804026,0.847651,0.803913,0.841962,94260,4332560
2017-02-28,0.805227,0.831538,0.797892,0.803977,107824,4333750
2017-02-27,0.798417,0.819324,0.798143,0.804716,71439,4292460
2017-02-26,0.780171,0.814878,0.769603,0.799392,75564,4190100
2017-02-25,0.798545,0.821233,0.764979,0.779878,96943,4283810
2017-02-24,0.720091,0.833797,0.710127,0.800726,80798,3858450
2017-02-23,0.750903,0.800626,0.697684,0.716413,104601,4018590
2017-02-22,0.765145,0.800321,0.663462,0.751017,102991,4088710
2017-02-21,0.743569,0.788681,0.742046,0.765488,46477,3968830
2017-02-20,0.722645,0.744402,0.718499,0.744051,79052,3845050
2017-02-19,0.723668,0.759755,0.718855,0.722082,17807,3840990
2017-02-18,0.714177,0.770619,0.712649,0.723435,69567,3786090
2017-02-17,0.737502,0.765716,0.711911,0.712135,73305,3905080
2017-02-16,0.726066,0.76264,0.725988,0.738451,64234,3839920
2017-02-15,0.731512,0.748031,0.721461,0.725943,84565,3864230
2017-02-14,0.711982,0.744774,0.665671,0.730306,84926,3756710
2017-02-13,0.696483,0.718306,0.615641,0.711195,100391,3670810
2017-02-12,0.701552,0.72462,0.693313,0.696708,90321,3693230
2017-02-11,0.634346,0.728807,0.62172,0.702202,73165,3335540
2017-02-10,0.567441,0.652978,0.546511,0.634202,136220,2979990
2017-02-09,0.574614,0.635086,0.529744,0.566729,40765,3013100
2017-02-08,0.425789,0.620504,0.425789,0.573734,97396,2230210
2017-02-07,0.447859,0.516073,0.422868,0.4254,65544,2343170
2017-02-06,0.465675,0.53186,0.445042,0.447002,92361,2372230
2017-02-05,0.568783,0.594951,0.465195,0.465195,22814,2893950
2017-02-04,0.513954,0.618865,0.511836,0.568446,41471,2611770
2017-02-03,0.424369,0.616739,0.423258,0.513246,104851,2151070
2017-02-02,0.376986,0.510052,0.374696,0.42451,49021,1908590
2017-02-01,0.234603,0.625286,0.23433,0.380666,70857,1186290
2017-01-31,0.2019,0.248894,0.192904,0.234476,38955,1019790
2017-01-30,0.18354,0.211474,0.183411,0.201773,25986,926047
2017-01-29,0.185211,0.191636,0.178,0.183409,10832,933414
2017-01-28,0.167891,0.191118,0.167889,0.185115,12342,845152
2017-01-27,0.162051,0.242873,0.151854,0.16788,24828,814864
2017-01-26,0.154363,0.179255,0.147483,0.161915,9966,775361
2017-01-25,0.142849,0.313312,0.142811,0.154217,14945,716763
2017-01-24,0.152959,0.671748,0.134264,0.142972,33237,766670
2017-01-23,0.128182,0.156983,0.126968,0.154695,6921,641762
2017-01-22,0.174903,0.178088,0.123697,0.128067,526,874666
2017-01-21,0.14571,0.236289,0.144554,0.174829,12872,727753
2017-01-20,0.162671,0.166808,0.145625,0.145625,5978,812236
